festivalId,year,date,month,paksha,tithi,location,sourceUrl,verified,reviewNotes
JAGRAN_UTSAV,2026,2026-01-14,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/01/2026,true,Drik Panchang Vrindavan Gregorian month grid: January 2026; lunar range Pausha - Magha 2082; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2026,2026-01-23,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=23/01/2026,true,Drik Panchang Vrindavan Gregorian month grid: January 2026; lunar range Pausha - Magha 2082; cell tithi Panchami Shukla; sunrise-day calendar.
RADHACHARANDAS_JI_PRAKATYOTSAV,2026,2026-03-15,CHAITRA,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/03/2026,true,Drik Panchang Vrindavan Gregorian month grid: March 2026; lunar range Phalguna 2082 - Chaitra 2083; cell tithi Ekadashi Krishna; sunrise-day calendar.
PHOOL_DOL_EKADASHI,2026,2026-03-29,CHAITRA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/03/2026,true,Drik Panchang Vrindavan Gregorian month grid: March 2026; lunar range Phalguna 2082 - Chaitra 2083; cell tithi Ekadashi Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2026,2026-05-03,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/05/2026,true,Drik Panchang Vrindavan Gregorian month grid: May 2026; lunar range Vaishakha - Jyeshtha 2083; cell tithi Dwitiya Krishna; sunrise-day calendar.
BIHARINIDEVJI_JHULANOTSAV,2026,2026-08-15,SHRAVAN,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/08/2026,true,Drik Panchang Vrindavan Gregorian month grid: August 2026; lunar range Shravana - Bhadrapada 2083; cell tithi Tritiya Shukla; sunrise-day calendar.
RADHASHTAMI,2026,2026-09-19,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/09/2026,true,Drik Panchang Vrindavan Gregorian month grid: September 2026; lunar range Bhadrapada - Ashwina 2083; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2026,2026-10-21,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/10/2026,true,Drik Panchang Vrindavan Gregorian month grid: October 2026; lunar range Ashwina - Kartika 2083; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2026,2026-10-26,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=26/10/2026,true,Drik Panchang Vrindavan Gregorian month grid: October 2026; lunar range Ashwina - Kartika 2083; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2026,2026-12-01,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=01/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Ashtami Krishna; sunrise-day calendar.
RANCHHODDAS_JI_UTSAV,2026,2026-12-05,AGAHAN,KRISHNA,12,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=05/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Dwadashi Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2026,2026-12-14,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Panchami Shukla; sunrise-day calendar.
HOLI_MAHOTSAV,2027,2027-03-22,PHALGUN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/03/2027,true,Drik Panchang Vrindavan Gregorian month grid: March 2027; lunar range Phalguna - Chaitra 2083; cell tithi Purnima Shukla; sunrise-day calendar.
AKSHAY_TRITIYA_CHARAN_DARSHAN,2027,2027-05-09,VAISHAKH,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=09/05/2027,true,Drik Panchang Vrindavan Gregorian month grid: May 2027; lunar range Vaishakha - Jyeshtha 2084; cell tithi Tritiya Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2027,2027-05-22,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/05/2027,true,Drik Panchang Vrindavan Gregorian month grid: May 2027; lunar range Vaishakha - Jyeshtha 2084; cell tithi Dwitiya Krishna; sunrise-day calendar.
RADHAPRASAD_DEVJI_UTSAV,2027,2027-06-08,JYESHTHA,SHUKLA,4,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=08/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Chaturthi Shukla; sunrise-day calendar.
NAVALDAS_JI_UTSAV,2027,2027-06-12,JYESHTHA,SHUKLA,9,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=12/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Navami Shukla; sunrise-day calendar.
MOHINI_NIKUNJ_TATIYA_STHAN_UTSAV,2027,2027-06-14,JYESHTHA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Ekadashi Shukla; sunrise-day calendar.
VARTAMAN_VIRAJMAN_GADDI_MAHOTSAV,2027,2027-06-29,ASHADH,KRISHNA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Dashami Krishna; sunrise-day calendar.
GURU_PURNIMA_PAVAS_MAHOTSAV,2027,2027-07-18,ASHADH,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=18/07/2027,true,Drik Panchang Vrindavan Gregorian month grid: July 2027; lunar range Ashadha - Shravana 2084; cell tithi Purnima Shukla; sunrise-day calendar.
RADHASHTAMI,2027,2027-09-08,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=08/09/2027,true,Drik Panchang Vrindavan Gregorian month grid: September 2027; lunar range Bhadrapada - Ashwina 2084; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2027,2027-10-10,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/10/2027,true,Drik Panchang Vrindavan Gregorian month grid: October 2027; lunar range Ashwina - Kartika 2084; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2027,2027-10-15,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/10/2027,true,Drik Panchang Vrindavan Gregorian month grid: October 2027; lunar range Ashwina - Kartika 2084; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2027,2027-11-21,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/11/2027,true,Drik Panchang Vrindavan Gregorian month grid: November 2027; lunar range Kartika - Margashirsha 2084; cell tithi Ashtami Krishna; sunrise-day calendar.
RANCHHODDAS_JI_UTSAV,2027,2027-11-25,AGAHAN,KRISHNA,12,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=25/11/2027,true,Drik Panchang Vrindavan Gregorian month grid: November 2027; lunar range Kartika - Margashirsha 2084; cell tithi Dwadashi Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2027,2027-12-03,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/12/2027,true,Drik Panchang Vrindavan Gregorian month grid: December 2027; lunar range Margashirsha - Pausha 2084; cell tithi Panchami Shukla; sunrise-day calendar.
JAGRAN_UTSAV,2028,2028-01-22,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/01/2028,true,Drik Panchang Vrindavan Gregorian month grid: January 2028; lunar range Pausha - Magha 2084; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2028,2028-02-01,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=01/02/2028,true,Drik Panchang Vrindavan Gregorian month grid: February 2028; lunar range Magha - Phalguna 2084; cell tithi Panchami Shukla; sunrise-day calendar.
RADHACHARANDAS_JI_PRAKATYOTSAV,2028,2028-03-21,CHAITRA,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/03/2028,true,Drik Panchang Vrindavan Gregorian month grid: March 2028; lunar range Phalguna 2084 - Chaitra 2085; cell tithi Ekadashi Krishna; sunrise-day calendar.
AKSHAY_TRITIYA_CHARAN_DARSHAN,2028,2028-04-27,VAISHAKH,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=27/04/2028,true,Drik Panchang Vrindavan Gregorian month grid: April 2028; lunar range Chaitra - Vaishakha 2085; cell tithi Tritiya Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2028,2028-05-10,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/05/2028,true,Drik Panchang Vrindavan Gregorian month grid: May 2028; lunar range Vaishakha - Jyeshtha 2085; cell tithi Dwitiya Krishna; sunrise-day calendar.
RADHAPRASAD_DEVJI_UTSAV,2028,2028-05-28,JYESHTHA,SHUKLA,4,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=28/05/2028,true,Drik Panchang Vrindavan Gregorian month grid: May 2028; lunar range Vaishakha - Jyeshtha 2085; cell tithi Chaturthi Shukla; sunrise-day calendar.
NAVALDAS_JI_UTSAV,2028,2028-06-01,JYESHTHA,SHUKLA,9,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=01/06/2028,true,Drik Panchang Vrindavan Gregorian month grid: June 2028; lunar range Jyeshtha - Ashadha 2085; cell tithi Navami Shukla; sunrise-day calendar.
MOHINI_NIKUNJ_TATIYA_STHAN_UTSAV,2028,2028-06-03,JYESHTHA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/06/2028,true,Drik Panchang Vrindavan Gregorian month grid: June 2028; lunar range Jyeshtha - Ashadha 2085; cell tithi Ekadashi Shukla; sunrise-day calendar.
VARTAMAN_VIRAJMAN_GADDI_MAHOTSAV,2028,2028-06-17,ASHADH,KRISHNA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=17/06/2028,true,Drik Panchang Vrindavan Gregorian month grid: June 2028; lunar range Jyeshtha - Ashadha 2085; cell tithi Dashami Krishna; sunrise-day calendar.
GURU_PURNIMA_PAVAS_MAHOTSAV,2028,2028-07-06,ASHADH,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=06/07/2028,true,Drik Panchang Vrindavan Gregorian month grid: July 2028; lunar range Ashadha - Shravana 2085; cell tithi Purnima Shukla; sunrise-day calendar.
BIHARINIDEVJI_JHULANOTSAV,2028,2028-07-24,SHRAVAN,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=24/07/2028,true,Drik Panchang Vrindavan Gregorian month grid: July 2028; lunar range Ashadha - Shravana 2085; cell tithi Tritiya Shukla; sunrise-day calendar.
RADHASHTAMI,2028,2028-08-27,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=27/08/2028,true,Drik Panchang Vrindavan Gregorian month grid: August 2028; lunar range Shravana - Bhadrapada 2085; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2028,2028-09-28,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=28/09/2028,true,Drik Panchang Vrindavan Gregorian month grid: September 2028; lunar range Bhadrapada - Ashwina 2085; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2028,2028-10-03,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/10/2028,true,Drik Panchang Vrindavan Gregorian month grid: October 2028; lunar range Ashwina - Kartika 2085; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2028,2028-11-10,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/11/2028,true,Drik Panchang Vrindavan Gregorian month grid: November 2028; lunar range Kartika - Margashirsha 2085; cell tithi Ashtami Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2028,2028-11-21,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/11/2028,true,Drik Panchang Vrindavan Gregorian month grid: November 2028; lunar range Kartika - Margashirsha 2085; cell tithi Panchami Shukla; sunrise-day calendar.
JAGRAN_UTSAV,2029,2029-01-10,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=10/01/2029,true,Drik Panchang Vrindavan Gregorian month grid: January 2029; lunar range Magha - Phalguna 2085; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2029,2029-01-19,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/01/2029,true,Drik Panchang Vrindavan Gregorian month grid: January 2029; lunar range Magha - Phalguna 2085; cell tithi Panchami Shukla; sunrise-day calendar.
HOLI_MAHOTSAV,2029,2029-02-28,PHALGUN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=28/02/2029,true,Drik Panchang Vrindavan Gregorian month grid: February 2029; lunar range Phalguna - Phalguna 2085; cell tithi Purnima Shukla; sunrise-day calendar.
